from,to,year,type,pps,,
FCN,RPr,2014,1,,(Interimstrainer),
VIs,FCN,2014,2,"1,2",(selber ausgerechnet),
FSVM,TT,2014,1,"1,8",,
KH,FSVM,2014,2,"1,8",,
SGE,AV,2014,1,"0,2",,
TS,SGE,2014,2,"1,2",,
VfB,HS,2014,1,"1,4",(Interimstrainer),(selbst ausgerechnet)
AV,VfB,2014,2,"0,2",(selbst ausgerechnet),
B04,SLe,2014,1,"2,6",(Interimstrainer),
RoS,B04,2014,2,2,,
HSV,MSl,2014,1,"0,2",,
JZ,HSV,2014,2,1,,
S04,JK,2014,1,"1,4",,
RdM,S04,2014,2,"1,8",,
SVW,RDu,2014,1,"0,2",,
VS,SVW,2014,2,"1,8",,
VfB,AV,2014,1,"0,8",,
HS,VfB,2014,2,"1,6",(Interimstrainer),
BSC,JLu,2015,1,"0,8",,
PD,BSC,2015,2,"1,4",,
FSVM,KH,2015,1,"0,8",,
MSc,FSVM,2015,2,"1,6",,
HSV,JZ,2015,1,"0,4",,
PKn,HSV,2015,2,0,(nur 2 Spiele),(Interimstrainer)
HSV,PKn,2015,1,0,(nur 2 Spiele),(Interimstrainer)
BLab,HSV,2015,2,"1,4",,
H96,TK,2015,1,"0,4",,
MF,H96,2015,2,"1,6",,
