from,to,year,type,pps,,
RVad,JIM,2014,1,"0,8",(letzten 5 Spiele),
Ru,RVad,2014,2,"2,4",(ersten 5 Spiele),
UDLe,JC,2014,1,"1,6",,
JLM,UDLe,2014,2,"0,8",,
RCD,JAg,2014,1,"0,2",,
Se,RCD,2014,2,1,,
RBe,GCa,2014,1,"0,6",(letzten 5 Spiele),
JV,RBe,2014,2,"1,8",(ersten 5 Spiele),
RCC,LEn,2014,1,"2,4",,
EBe,RCC,2014,2,"1,8",,
GrFC,LAl,2014,1,"0,8",,
JC,GrFC,2014,2,"1,6",,
FCBa,GMar,2014,1,"1,8",,
LEn,FCBa,2014,2,"2,6",,
CAO,JG,2014,1,1,(letzten 5 Spiele),
JUr,CAO,2014,2,1,(ersten 5 Spiele),
FCM,BSchu,2014,1,"1,4",,
JG,FCM,2014,2,"1,2",,
VCF,JAP,2014,1,1,,
Vo,VCF,2014,2,"1,6",(Interimstrainer),
DLC,FV,2014,1,"0,8",,
VF,DLC,2014,2,"0,8",,
FCCo,AFe,2014,1,"0,4",,
MD,FCCo,2014,2,"0,6",,
UDLe,JLM,2014,1,"0,8",,
LAl,UDLe,2014,2,"1,4",,
RS,JAr,2014,1,"0,4",,
ASa,RS,2014,2,,(Interimstrainer),nur 1 Spiel (gewonnen)
RS,ASa,2014,1,,(Interimstrainer),
DM,RS,2014,2,"1,2",,
UDA,FR,2014,1,"0,8",letzten 5 spiele,
MRi,UDA,2014,2,,(Interimstrainer),
UDA,MRi,2014,1,,(Interimstrainer),nur 1 Spiel (verloren)
JIM,UDA,2014,2,"1,2",,
GCF,CCo,2015,1,"1,6",letzten 5 spiele,
QSF,GCF,2015,2,"0,8",ersten 5 spiele,
GrFC,JC,2015,1,"0,4",letzten 5 spiele,
JoA,GrFC,2015,2,,(Interimstrainer),
GrFC,JoA,2015,1,,(Interimstrainer),nur 1 Spiel (verloren)
ARe,GrFC,2015,2,1,,
GCF,QSF,2015,1,"1,8",,
PaF,GCF,2015,2,"1,2",,
FCCo,MD,2015,1,0,,
JARo,FCCo,2015,2,"0,4",,
UDA,JIM,2015,1,"0,4",,
SBa,UDA,2015,2,"1,2",,
DLC,VF,2015,1,"0,4",,
VSa,DLC,2015,2,"0,6",,
GrFC,ARe,2015,1,"0,4",,
JSR,GrFC,2015,2,2,,
