from,to,year,type,pps,
ASM,CR,2014,1,"2,2",
LJ,ASM,2014,2,"0,8",
SCB,FrHa,2014,1,"1,6",
CMak,SCB,2014,2,"1,2",
FCSM,HR,2014,1,2,letzten fünf Spiele
OlE,FCSM,2014,2,"0,8",ersten fünf Spiele
FCL,ChG,2014,1,"1,6",
SyR,FCL,2014,2,"1,4",
OL,ReG,2014,1,"1,4",
HuF,OL,2014,2,"1,2",
SRei,HuF,2014,1,"0,6",
JLV,SRei,2014,2,"0,8",
OM,JAn,2014,1,"1,8",
MBi,OM,2014,2,2,
SCB,CMak,2014,1,"0,6",
GPr,SCB,2014,2,"0,8",
TouFC,ACa,2015,1,"0,8",
DoA,TouFC,2015,2,2,
SRei,JLV,2015,1,"0,8",
OGu,SRei,2015,2,"1,2",
