id,name,type,league
ASM,AS Monaco,2,5
CR,Claudio Ranieri,1,5
LJ,Leonardo Jardim,1,5
SCB,SC Bastia,2,5
FrHa,Frederic Hantz,1,5
CMak,Claude Makelele,1,5
FCSM,FC Sochaux-Montbéliard,2,5
HR,Hervé Renard,1,5
OlE,Olivier Echouafni,1,5
FCL,FC Lorient,2,5
ChG,Christian Gourcuff,1,5
SyR,Sylvain Ripoll,1,5
OL,Olympique Lyon,2,5
ReG,Remi Garde,1,5
HuF,Hubert Fournier,1,5
SRei,Stade Reims,2,5
JLV,Jean-Luc Vasseur,1,5
OM,Olympique Marseille,2,5
JAn,José Anigo ,1,5
MBi,Marcelo Bielsa,1,5
GPr,Ghislain Printant,1,5
TouFC,Toulouse FC,2,5
ACa,Alain Casanova,1,5
DoA,Dominique Arribage,1,5
OGu,Olivier Guegan,1,5
,,,5
,,,5
,,,5
,,,5
,,,5
