id,name,type,league
FCN,1. FC Nürnberg,2,1
RPr,Roger Prinzen,1,1
VIs,Valerien Ismael,1,1
FSVM,1. FSV Mainz 05,2,1
TT,Thomas Tuchel,1,1
KH,Kasper Hjulmand,1,1
SGE,Eintracht Frankfurt,2,1
AV,Armin Veh,1,1
TS,Thomas Schaaf,1,1
VfB,VfB Stuttgart,2,1
HS,Huub Stevens,1,1
B04,Bayer Leverkusen,2,1
SLe,Sascha Lewandowski,1,1
RoS,Roger Schmidt,1,1
HSV,Hamburger SV,2,1
MSl,Mirko Slomka,1,1
JZ,Josef Zinnbauer,1,1
S04,Schalke 04,2,1
JK,Jens Keller,1,1
RdM,Roberto di Matteo,1,1
SVW,Werder Bremen,2,1
RDu,Robin Dutt,1,1
VS,Viktor Skrypnyk,1,1
BSC,Hertha BSC,2,1
JLu,Jos Luhukay,1,1
PD,Pal Dardai,1,1
MSc,Martin Schmidt,1,1
PKn,Peter Knäbel,1,1
BLab,Bruno Labbadia,1,1
H96,Hannover 96,2,1
TK,Tayfun Korkut,1,1
MF,Michael Frontzeck,1,1
