id,name,type,league
RVad,Real Valladolid ,2,3
JIM,Juan Ignacio Martinez,1,3
Ru,Rubi,1,3
UDLe,UD Levante ,2,3
JC,Joaquin Caparros,1,3
JLM,José Luis Mendilibar,1,3
RCD,Espanyol Barcelona ,2,3
JAg,Javier Aguirre,1,3
Se,Sergio ,1,3
RBe ,Real Betis Sevilla,2,3
GCa,Gabriel Calderon,1,3
JV,Julio Velazquez,1,3
RCC,Celta Vigo,2,3
LEn,Luis Enrique,1,3
EBe,Eduardo Berizo,1,3
GrFC,Granada FC,2,3
LAl,Lucas Alcaraz,1,3
FCBa,FC Barcelona,2,3
GMar,Gerardo Martino,1,3
CAO,CA Osasuna,2,3
JG,Javi Gracia,1,3
JUr,Jan Urban,1,3
FCM,FC Malaga,2,3
BSchu,Bernd Schuster ,1,3
VCF,Valencia CF,2,3
JAP,Juan Antonio Pizzi,1,3
Vo,Voro,1,3
DLC,Deportivo La Coruna,2,3
FV,Fernando Vazquez,1,3
VF,Victor Fernandez,1,3
FCCo,FC Cordoba,2,3
AFe,Albert Ferrer,1,3
MD,Miroslav Djukic,1,3
RS,Real Sociedad,2,3
JAr,Jagoba Arrasate,1,3
ASa,Asier Santana,1,3
DM,David Moyes,1,3
UDA,UD Almería,2,3
FR,Francisco Rodríguez,1,3
MRi,Miguel Rivera,1,3
GCF,Getafe CF,2,3
CCo,Cosmin Contra,1,3
QSF,Quique Sánchez Flores,1,3
JoA,Joseba Aguado,1,3
ARe,Abel Resino,1,3
PaF,Pablo Franco,1,3
JARo,Jose Antonio Romero,1,3
SBa,Sergi Barjuan,1,3
VSa,Victor Sanchez,1,3
JRS,Jose Ramon Sandoval,1,3
