from,to,year,type,pps,,
WBA,PMe,2014,1,"0,6",,
AIr,WBA,2014,2,1,,
TH,TSh,2014,1,2,,
MP,TH,2014,2,"1,4",,
SoFC,MP,2014,1,"1,6",,
RK,SoFC,2014,2,2,,
BoFC,TP,2014,1,"1,6",,
KM,BoFC,2014,2,"0,5",Interimstrainer,
BoFC,KM,2014,1,"0,4",Interimstrainer,2 Trainer 
NWa,BoFC,2014,2,"1,6",,
BoFC,NWa,2014,1,"0,4",,
KM,BoFC,2014,2,1,Interimstrainer,nur 2 Spiele
WBA,AIr,2014,1,,,
RKe,WBA,2014,2,,Interimstrainer,
WBA,RKe,2015,1,"0,8",Interimstrainer,(Irvine unmd Kelly zusammen)
TP,WBA,2015,2,"1,6",,
NU,APar,2015,1,"0,8",2 Trainer,
SMC,NU,2015,2,"0,4",,
BoFC,KM,2015,1,"0,6",Interimstrainer,2 Trainer
APar,BoFC,2015,2,2,,
QPR,HRe,2015,1,"0,4",,
CRa,QPR,2015,2,"0,6",Interimstrainer,
AV,PL,2015,1,"0,6",die letzten 5 spiele selber ausgerechnet,
SMa,AV,2015,2,,Interimstrainer,nur 1 Spiel
AV,SMa,2015,1,0,Interimstrainer,
TSh,AV,2015,2,"1,2",,
AFCS,GPo,2015,1,"0,4",,
DA,AFCS,2015,2,"1,4",,
QPR,CRa,2015,1,,Interimstrainer,
CRa,QPR,2015,2,,,
