id,name,type,league
WBA,West Bromwich Albion,2,2
PMe,Pepe Mel,1,2
AIr,Alan Irvine,1,2
TH,Tottenham Hotspur,2,2
TSh,Tim Sherwood,1,2
MP,Mauricio Pochettino,1,2
SoFC,Southampton FC,2,2
RK,Ronald Koeman,1,2
BoFC,Crystal Palace,2,2
TP,Tony Pulis,1,2
KM,Keith Millen,1,2
NWa,Neil Warnock,1,2
RKe,Rob Kelly,1,2
NU,Newcastle United,2,2
APar,Alan Pardew,1,2
SMC,Steve McClaren,1,2
QPR,Queens Park Rangers,2,2
HRe,Harry Redknapp,1,2
CRa,Chris Ramsey,1,2
AV,Aston Villa,2,2
PL,Paul Lambert,1,2
SMa,Scott Marshall,1,2
AFCS,AFC Sunderland,2,2
GPo,Gustavo Poyet,1,2
DA,Dick Advocaat,1,2
