from,to,year,type,pps,
ACMi,CS,2014,1,"1,8",
FI,ACMi,2014,2,"1,6",
LR,ERe,2014,1,"1,6",
SPi,LR,2014,2,"1,2",
CC,IP,2014,1,"1,2",
ZZ,CC,2014,2,"0,8",
BFC,DB,2014,1,"0,2",
DL,BFC,2014,2,"0,8",
USLi,DN,2014,1,0,nur vier spiele
CaG,USLi,2014,2,1,
UCa,FGu,2014,1,"1,2",
ASt,UCa,2014,2,"2,4",
JU,AC,2014,1,3,
MaA,JU,2014,2,3,
CVe,ECo,2014,1,"0,2",
RMa,CVe,2014,2,1,
IM,WM,2014,1,"1,6",
RoM,IM,2014,2,1,
FCCe,PiB,2014,1,"0,4",
DDC,FCCe,2014,2,"0,2",
CC,ZZ,2014,1,"0,4",
GZo,CC,2014,2,"1,4",
AT,StCo,2015,1,"0,6",
ERe,AT,2015,2,"1,2",
CC,GZo,2015,1,"0,2",
ZZ,CC,2015,2,"0,2",
CC,ZZ,2015,1,"0,2",
GiF,CC,2015,2,"1,4",
