id,name,type,league
ACMi,AC Milan,2,4
CS,Clarence Seedorf,1,4
FI,Filippo Inzaghi,1,4
LR,Lazio Roma,2,4
ERe,Edoardo Reja,1,4
SPi,Stefano Pioli,1,4
CC,Cagliari Calcio,2,4
IP,Ivo Pulga,1,4
ZZ,Zdenek Zeman,1,4
BFC,Bolgona FC,2,4
DB,Davide Ballardini,1,4
DL,Diego Lopez,1,4
USLi,US Livorno 1915,2,4
DN,Davide Nicola,1,4
CaG,Carmine Gautieri,1,4
UCa,Udinese Calcio,2,4
FGu,Francesco Guidolin,1,4
ASt,Andrea Stramaccioni,1,4
JU,Juventus Turin,2,4
AC,Antonio Conte,1,4
MaA,Massimiliano Allegri,1,4
CVe,Chievo Verona,2,4
ECo,Eugenio Corini,1,4
RMa,Rolando Maran,1,4
IM,Inter Mailand,2,4
WM,Walter Mazzarri,1,4
RoM,Roberto Mancini,1,4
FCCe,FC Cesena,2,4
PiB,Pierpaolo Bisoli,1,4
DDC,Domenico Di Carlo,1,4
GZo,Gianfranco Zola,1,4
AT,Atalanta Bergamo,2,4
StCo,Stefano Colantuono,1,4
GiF,Gianluca Festa,1,4
