from,to,year,type,pps,,
TouFC,DZ,2020,1,0,(Interimstrainer),(selber ausgerechnet letzte 5 Spiele)
PG,TouFC,2020,2,1,,(selber ausgerechnet)
NO,BB,2020,1,"1,2",,
JeA,NO,2020,2,1,,
ASM,RMo,2020,1,"1,6",,
NK,ASM,2020,2,2,,
FCGB,PS,2020,1,"1,2",,
JLG,FCGB,2020,2,"1,2",,
FCMe,VH,2020,1,"1,4",,
FA,FCMe,2020,2,"1,8",,
DFCO,SJ,2020,1,"0,6",,
DLi,DFCO,2020,2,"1,2",,
OGCN,PV,2020,1,"1,4",,
AUr,OGCN,2020,2,1,,
FCNa,ChG,2020,1,1,,
PCo,FCNa,2020,2,"0,5",(Interimstrainer),
FCNA,PCo,2020,1,"0,4",(Interimstrainer),(nur 4 Spiele)
RDo,FCNa,2020,2,"0,6",,
FCP,TT,2020,1,2,,
MP,FCP,2020,2,2,,
OM,AVB,2021,1,"0,8",,
NL,OM,2021,2,"1,2",(Interimstrainer),
NO,JeA,2021,1,"0,6",,
PPl,NO,2021,2,2,,
FCNa,RDo,2021,1,"0,4",,
AK,FCNa,2021,2,"1,6",,
FCSR,JSt,2021,1,"0,2",,
PBi,FCSR,2021,2,0,(Interimstrainer),(nur 1 Spiel)
FCSR,PBi,2021,1,0,(Interimstrainer),
BG,FCSR,2021,2,2,,
OM,NL,2021,1,"1,2",(Interimstrainer),
JS,OM,2021,2,2,,
