id,name,type,league
AK,Antoine Kombouaré,1,5
ASM,AS Monaco,2,5
AUr,Adrian Ursea,1,5
AVB,Andre Villas-Boas,1,5
BB,Bernard Blaquart,1,5
BG,Bruno Genesio,1,5
ChG,Christian Gourcuff,1,5
DFCO,Dijon FCO,2,5
DLi,David Linares,1,5
DZ,Denis Zanko,1,5
FA,Frédéric Antonetti,1,5
FCGB,FC Girondins Bordeaux,2,5
FCMe,FC Metz,2,5
FCNa,FC Nantes,2,5
FCP,FC Paris Saint-Germain,2,5
FCSR,FC Stade Rennes,2,5
JeA,Jerome Arpinon,1,5
JLG,Jean-Louis Gasset,1,5
JS,Jorge Sampaoli,1,5
JSt,Julien Stéphan,1,5
MP,Mauricio Pochettino,1,5
NK,Niko Kovac,1,5
NL,Nasser Laguet,1,5
NO,Nimes Olympique,2,5
OGCN,OGC Nice,2,5
OM,Olympique Marseille,2,5
PBi,Philippe Bizeul,1,5
PCo,Patrick Collot,1,5
PG,Patrice Garande,1,5
PPl,Pascal Plancque,1,5
PS,Paulo Sousa,1,5
PV,Patrick Vieira,1,5
RDo,Raymond Domenech,1,5
RMo,Robert Moreno,1,5
SJ,Stephane Jobard,1,5
TouFC,Toulouse FC,2,5
TT,Thomas Tuchel,1,5
VH,Vincent Hognon,1,5
