from,to,year,type,pps,
USL,FaL,2020,1,"1,2",(selber ausgerechnet letzten 5 Spiele)
ECo,USL,2020,2,"1,4",(selber ausgerechnet)
BC,DL,2020,1,"0,8",(selber ausgerechnet letzten 5 Spiele)
LuD,BC,2020,2,0,(nur 2 Spiele) 
GCFC,DN,2020,1,"1,8",
RMa,GCFC,2020,2,1,
CC,WZ,2020,1,"0,8",
EDF,CC,2020,2,"1,4",
FCT,ML,2020,1,"0,6",
MGI,FCT,2020,2,"0,2",
JU,MS,2020,1,"1,2",
APi,JU,2020,2,"1,8",
PC,RD,2020,1,"1,8",
FaL,PC,2020,2,"0,8",
ACF,GI,2020,1,1,
CPr,ACF,2020,2,"0,4",
GCFC,RMa,2020,1,"0,4",
DB,GCFC,2020,2,"1,6",
PC,FaL,2021,1,"0,2",
RD,PC,2021,2,"0,2",
FCT,MGi,2021,1,"1,2",
DN,FCT,2021,2,"1,4",
CC,EDF,2021,1,"0,2",
LS,CC,2021,2,"1,4",
FCCr,GSt,2021,1,0,
SCo,FCCr,2021,2,"0,6",
ACF,CPr,2021,1,"0,8",
GI,ACF,2021,2,1,
