id,name,type,league
USL,US Lecce,2,4
FaL,Fabio Liverani,1,4
ECo,Eugenio Corini,1,4
BC,Brescia Calcio,2,4
DL,Diego Lopez,1,4
LuD,Luigi Delneri,1,4
GCFC,Genua CFC,2,4
DN,Davide Nicola,1,4
RMa,Rolando Maran,1,4
CC,Cagliari Calcio,2,4
WZ,Walter Zenga,1,4
EDF,Eusebio Di Francesco,1,4
FCT,FC Turin,2,4
ML,Moreno Longo,1,4
MGi,Marco Giampaolo,1,4
JU,Juventus Turin,2,4
MS,Maurizio Sarri,1,4
APi,Andrea Pirlo,1,4
PC,Parma Calcio 1913,2,4
RD,Roberto D'Aversa,1,4
FaL,Fabio Liverani,1,4
ACF,AC FLorenz,2,4
GI,Giuseppe Iachini,1,4
CPr,Cesare Prandelli,1,4
DB,Davide Ballardini,1,4
LS,Leonardo Semplici,1,4
FCCr,FC Crotone,2,4
GSt,Giovanni Stroppa,1,4
SCo,Serse Cosmi,1,4
,,,4
